0	0.00001252	-1.000	-001	-001
1000	0.00251382	8977.000	8977	8977
2000	0.00511369	19953.000	19953	19953
3000	0.00788747	31905.000	31905	31905
4000	0.01041122	43905.000	43905	43905
5000	0.01371587	56809.000	56809	56809
6000	0.01591611	69809.000	69809	69809
7000	0.02116425	82809.000	82809	82809
8000	0.02161597	95809.000	95809	95809
9000	0.02397700	109617.000	109617	109617
10000	0.02684212	123617.000	123617	123617
